id,name,canonical_name,type
760,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,recruitment and atm-mediated phosphorylation of repair and signaling proteins at dna double strand breaks,pathway
761,Recruitment of NuMA to mitotic centrosomes,recruitment of numa to mitotic centrosomes,pathway
762,Recruitment of mitotic centrosome proteins and complexes,recruitment of mitotic centrosome proteins and complexes,pathway
763,Recycling pathway of L1,recycling pathway of l1,pathway
764,Regorafenib-resistant KIT mutants,regorafenib-resistant kit mutants,pathway
765,Regorafenib-resistant PDGFR mutants,regorafenib-resistant pdgfr mutants,pathway
766,Regulated Necrosis,regulated necrosis,pathway
767,Regulation of APC/C activators between G1/S and early anaphase,regulation of apc/c activators between g1/s and early anaphase,pathway
768,Regulation of BACH1 activity,regulation of bach1 activity,pathway
769,Regulation of CDH1 Expression and Function,regulation of cdh1 expression and function,pathway
770,Regulation of CDH1 Function,regulation of cdh1 function,pathway
771,Regulation of CDH1 Gene Transcription,regulation of cdh1 gene transcription,pathway
772,Regulation of Complement cascade,regulation of complement cascade,pathway
773,Regulation of Expression and Function of Type I Classical Cadherins,regulation of expression and function of type i classical cadherins,pathway
774,Regulation of Homotypic Cell-Cell Adhesion,regulation of homotypic cell-cell adhesion,pathway
775,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),regulation of insulin-like growth factor (igf) transport and uptake by insulin-like growth factor binding proteins (igfbps),pathway
776,Regulation of KIT signaling,regulation of kit signaling,pathway
777,Regulation of MECP2 expression and activity,regulation of mecp2 expression and activity,pathway
778,Regulation of MITF-M-dependent genes involved in apoptosis,regulation of mitf-m-dependent genes involved in apoptosis,pathway
779,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation,regulation of mitf-m-dependent genes involved in cell cycle and proliferation,pathway
780,Regulation of NPAS4 gene expression,regulation of npas4 gene expression,pathway
781,Regulation of NPAS4 gene transcription,regulation of npas4 gene transcription,pathway
782,Regulation of PD-L1(CD274) Post-translational modification,regulation of pd-l1(cd274) post-translational modification,pathway
783,Regulation of PD-L1(CD274) expression,regulation of pd-l1(cd274) expression,pathway
784,Regulation of PD-L1(CD274) transcription,regulation of pd-l1(cd274) transcription,pathway
785,Regulation of PLK1 Activity at G2/M Transition,regulation of plk1 activity at g2/m transition,pathway
786,Regulation of PTEN gene transcription,regulation of pten gene transcription,pathway
787,Regulation of PTEN stability and activity,regulation of pten stability and activity,pathway
788,Regulation of RAS by GAPs,regulation of ras by gaps,pathway
789,Regulation of RUNX1 Expression and Activity,regulation of runx1 expression and activity,pathway
790,Regulation of RUNX2 expression and activity,regulation of runx2 expression and activity,pathway
791,Regulation of RUNX3 expression and activity,regulation of runx3 expression and activity,pathway
792,Regulation of T cell activation by CD28 family,regulation of t cell activation by cd28 family,pathway
793,Regulation of TP53 Activity,regulation of tp53 activity,pathway
794,Regulation of TP53 Activity through Acetylation,regulation of tp53 activity through acetylation,pathway
795,Regulation of TP53 Activity through Phosphorylation,regulation of tp53 activity through phosphorylation,pathway
796,Regulation of TP53 Degradation,regulation of tp53 degradation,pathway
797,Regulation of TP53 Expression and Degradation,regulation of tp53 expression and degradation,pathway
798,Regulation of actin dynamics for phagocytic cup formation,regulation of actin dynamics for phagocytic cup formation,pathway
799,Regulation of beta-cell development,regulation of beta-cell development,pathway
800,Regulation of commissural axon pathfinding by SLIT and ROBO,regulation of commissural axon pathfinding by slit and robo,pathway
801,Regulation of endogenous retroelements,regulation of endogenous retroelements,pathway
802,Regulation of endogenous retroelements by KRAB-ZFP proteins,regulation of endogenous retroelements by krab-zfp proteins,pathway
803,Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs),regulation of endogenous retroelements by piwi-interacting rnas (pirnas),pathway
804,Regulation of expression of SLITs and ROBOs,regulation of expression of slits and robos,pathway
805,Regulation of gap junction activity,regulation of gap junction activity,pathway
806,Regulation of insulin secretion,regulation of insulin secretion,pathway
807,Regulation of lipid metabolism by PPARalpha,regulation of lipid metabolism by pparalpha,pathway
808,Regulation of mRNA stability by proteins that bind AU-rich elements,regulation of mrna stability by proteins that bind au-rich elements,pathway
809,Regulation of mitotic cell cycle,regulation of mitotic cell cycle,pathway
810,Regulation of necroptotic cell death,regulation of necroptotic cell death,pathway
811,Regulation of signaling by CBL,regulation of signaling by cbl,pathway
812,Removal of the Flap Intermediate,removal of the flap intermediate,pathway
813,Removal of the Flap Intermediate from the C-strand,removal of the flap intermediate from the c-strand,pathway
814,Repression of WNT target genes,repression of wnt target genes,pathway
815,Reproduction,reproduction,pathway
816,Resistance of ERBB2 KD mutants to AEE788,resistance of erbb2 kd mutants to aee788,pathway
817,Resistance of ERBB2 KD mutants to afatinib,resistance of erbb2 kd mutants to afatinib,pathway
818,Resistance of ERBB2 KD mutants to lapatinib,resistance of erbb2 kd mutants to lapatinib,pathway
819,Resistance of ERBB2 KD mutants to neratinib,resistance of erbb2 kd mutants to neratinib,pathway
820,Resistance of ERBB2 KD mutants to osimertinib,resistance of erbb2 kd mutants to osimertinib,pathway
821,Resistance of ERBB2 KD mutants to sapitinib,resistance of erbb2 kd mutants to sapitinib,pathway
822,Resistance of ERBB2 KD mutants to tesevatinib,resistance of erbb2 kd mutants to tesevatinib,pathway
823,Resistance of ERBB2 KD mutants to trastuzumab,resistance of erbb2 kd mutants to trastuzumab,pathway
824,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,resolution of ap sites via the multiple-nucleotide patch replacement pathway,pathway
825,Resolution of Abasic Sites (AP sites),resolution of abasic sites (ap sites),pathway
826,Resolution of Sister Chromatid Cohesion,resolution of sister chromatid cohesion,pathway
827,Respiratory Syncytial Virus Infection Pathway,respiratory syncytial virus infection pathway,pathway
828,Respiratory syncytial virus (RSV) attachment and entry,respiratory syncytial virus (rsv) attachment and entry,pathway
829,"Respiratory syncytial virus (RSV) genome replication, transcription and translation","respiratory syncytial virus (rsv) genome replication, transcription and translation",pathway
830,Respiratory syncytial virus genome replication,respiratory syncytial virus genome replication,pathway
831,Response of endothelial cells to shear stress,response of endothelial cells to shear stress,pathway
832,Response to elevated platelet cytosolic Ca2+,response to elevated platelet cytosolic ca2+,pathway
833,Response to metal ions,response to metal ions,pathway
834,Retrograde neurotrophin signalling,retrograde neurotrophin signalling,pathway
835,Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide,ribosome quality control (rqc) complex extracts and degrades nascent peptide,pathway
836,Ribosome-associated quality control,ribosome-associated quality control,pathway
837,Role of ABL in ROBO-SLIT signaling,role of abl in robo-slit signaling,pathway
838,Role of LAT2/NTAL/LAB on calcium mobilization,role of lat2/ntal/lab on calcium mobilization,pathway
839,Role of phospholipids in phagocytosis,role of phospholipids in phagocytosis,pathway
840,S Phase,s phase,pathway
841,SARS-CoV Infections,sars-cov infections,pathway
842,SARS-CoV-1 Infection,sars-cov-1 infection,pathway
843,SARS-CoV-1 activates/modulates innate immune responses,sars-cov-1 activates/modulates innate immune responses,pathway
844,SARS-CoV-1-host interactions,sars-cov-1-host interactions,pathway
845,SARS-CoV-1-mediated effects on programmed cell death,sars-cov-1-mediated effects on programmed cell death,pathway
846,SARS-CoV-2 Infection,sars-cov-2 infection,pathway
847,SARS-CoV-2 activates/modulates innate and adaptive immune responses,sars-cov-2 activates/modulates innate and adaptive immune responses,pathway
848,SARS-CoV-2 targets host intracellular signalling and regulatory pathways,sars-cov-2 targets host intracellular signalling and regulatory pathways,pathway
849,SARS-CoV-2-host interactions,sars-cov-2-host interactions,pathway
850,SCF(Skp2)-mediated degradation of p27/p21,scf(skp2)-mediated degradation of p27/p21,pathway
851,SHC-mediated cascade:FGFR1,shc-mediated cascade:fgfr1,pathway
852,SHC-mediated cascade:FGFR2,shc-mediated cascade:fgfr2,pathway
853,SHC-mediated cascade:FGFR3,shc-mediated cascade:fgfr3,pathway
854,SHC1 events in EGFR signaling,shc1 events in egfr signaling,pathway
855,SHC1 events in ERBB2 signaling,shc1 events in erbb2 signaling,pathway
856,SHC1 events in ERBB4 signaling,shc1 events in erbb4 signaling,pathway
857,SHOC2 M1731 mutant abolishes MRAS complex function,shoc2 m1731 mutant abolishes mras complex function,pathway
858,SLC-mediated transmembrane transport,slc-mediated transmembrane transport,pathway
859,SLC-mediated transport of amino acids,slc-mediated transport of amino acids,pathway
860,SLC-mediated transport of organic anions,slc-mediated transport of organic anions,pathway
861,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,smad2/smad3:smad4 heterotrimer regulates transcription,pathway
862,SPOP-mediated proteasomal degradation of PD-L1(CD274),spop-mediated proteasomal degradation of pd-l1(cd274),pathway
863,STAT3 nuclear events downstream of ALK signaling,stat3 nuclear events downstream of alk signaling,pathway
864,STAT5 Activation,stat5 activation,pathway
865,STAT5 activation downstream of FLT3 ITD mutants,stat5 activation downstream of flt3 itd mutants,pathway
866,SUMO E3 ligases SUMOylate target proteins,sumo e3 ligases sumoylate target proteins,pathway
867,SUMOylation,sumoylation,pathway
868,SUMOylation of DNA damage response and repair proteins,sumoylation of dna damage response and repair proteins,pathway
869,SUMOylation of DNA methylation proteins,sumoylation of dna methylation proteins,pathway
870,SUMOylation of DNA replication proteins,sumoylation of dna replication proteins,pathway
871,SUMOylation of chromatin organization proteins,sumoylation of chromatin organization proteins,pathway
872,SUMOylation of intracellular receptors,sumoylation of intracellular receptors,pathway
873,SUMOylation of transcription cofactors,sumoylation of transcription cofactors,pathway
874,SWI/SNF chromatin remodelers,swi/snf chromatin remodelers,pathway
875,Scavenging by Class F Receptors,scavenging by class f receptors,pathway
876,Sealing of the nuclear envelope (NE) by ESCRT-III,sealing of the nuclear envelope (ne) by escrt-iii,pathway
877,Selective autophagy,selective autophagy,pathway
878,Selenoamino acid metabolism,selenoamino acid metabolism,pathway
879,Sema3A PAK dependent Axon repulsion,sema3a pak dependent axon repulsion,pathway
880,Sema4D in semaphorin signaling,sema4d in semaphorin signaling,pathway
881,Sema4D induced cell migration and growth-cone collapse,sema4d induced cell migration and growth-cone collapse,pathway
882,Sema4D mediated inhibition of cell attachment and migration,sema4d mediated inhibition of cell attachment and migration,pathway
883,Semaphorin interactions,semaphorin interactions,pathway
884,Senescence-Associated Secretory Phenotype (SASP),senescence-associated secretory phenotype (sasp),pathway
885,Sensory Perception,sensory perception,pathway
886,Sensory processing of sound,sensory processing of sound,pathway
887,Sensory processing of sound by inner hair cells of the cochlea,sensory processing of sound by inner hair cells of the cochlea,pathway
888,Separation of Sister Chromatids,separation of sister chromatids,pathway
889,Serotonin Neurotransmitter Release Cycle,serotonin neurotransmitter release cycle,pathway
890,Signal Transduction,signal transduction,pathway
891,Signal amplification,signal amplification,pathway
892,Signal regulatory protein family interactions,signal regulatory protein family interactions,pathway
893,Signal transduction by L1,signal transduction by l1,pathway
894,Signaling by ALK,signaling by alk,pathway
895,Signaling by ALK fusions and activated point mutants,signaling by alk fusions and activated point mutants,pathway
896,Signaling by ALK in cancer,signaling by alk in cancer,pathway
897,Signaling by BRAF and RAF1 fusions,signaling by braf and raf1 fusions,pathway
898,Signaling by CSF1 (M-CSF) in myeloid cells,signaling by csf1 (m-csf) in myeloid cells,pathway
899,Signaling by EGFR,signaling by egfr,pathway
900,Signaling by EGFR in Cancer,signaling by egfr in cancer,pathway
901,Signaling by EGFRvIII in Cancer,signaling by egfrviii in cancer,pathway
902,Signaling by ERBB2,signaling by erbb2,pathway
903,Signaling by ERBB2 ECD mutants,signaling by erbb2 ecd mutants,pathway
904,Signaling by ERBB2 KD Mutants,signaling by erbb2 kd mutants,pathway
905,Signaling by ERBB2 TMD/JMD mutants,signaling by erbb2 tmd/jmd mutants,pathway
906,Signaling by ERBB2 in Cancer,signaling by erbb2 in cancer,pathway
907,Signaling by ERBB4,signaling by erbb4,pathway
908,Signaling by Erythropoietin,signaling by erythropoietin,pathway
909,Signaling by FGFR,signaling by fgfr,pathway
910,Signaling by FGFR in disease,signaling by fgfr in disease,pathway
911,Signaling by FGFR1,signaling by fgfr1,pathway
912,Signaling by FGFR1 amplification mutants,signaling by fgfr1 amplification mutants,pathway
913,Signaling by FGFR1 in disease,signaling by fgfr1 in disease,pathway
914,Signaling by FGFR2,signaling by fgfr2,pathway
915,Signaling by FGFR2 IIIa TM,signaling by fgfr2 iiia tm,pathway
916,Signaling by FGFR2 amplification mutants,signaling by fgfr2 amplification mutants,pathway
917,Signaling by FGFR2 fusions,signaling by fgfr2 fusions,pathway
918,Signaling by FGFR2 in disease,signaling by fgfr2 in disease,pathway
919,Signaling by FGFR3,signaling by fgfr3,pathway
920,Signaling by FGFR3 fusions in cancer,signaling by fgfr3 fusions in cancer,pathway
921,Signaling by FGFR3 in disease,signaling by fgfr3 in disease,pathway
922,Signaling by FGFR4,signaling by fgfr4,pathway
923,Signaling by FGFR4 in disease,signaling by fgfr4 in disease,pathway
924,Signaling by FLT3 ITD and TKD mutants,signaling by flt3 itd and tkd mutants,pathway
925,Signaling by FLT3 fusion proteins,signaling by flt3 fusion proteins,pathway
926,Signaling by GPCR,signaling by gpcr,pathway
927,Signaling by Hedgehog,signaling by hedgehog,pathway
928,Signaling by Hippo,signaling by hippo,pathway
929,Signaling by Insulin receptor,signaling by insulin receptor,pathway
930,Signaling by Interleukins,signaling by interleukins,pathway
931,Signaling by KIT in disease,signaling by kit in disease,pathway
932,Signaling by LTK,signaling by ltk,pathway
933,Signaling by LTK in cancer,signaling by ltk in cancer,pathway
934,Signaling by Ligand-Responsive EGFR Variants in Cancer,signaling by ligand-responsive egfr variants in cancer,pathway
935,Signaling by MAP2K mutants,signaling by map2k mutants,pathway
936,Signaling by MET,signaling by met,pathway
937,Signaling by MRAS-complex mutants,signaling by mras-complex mutants,pathway
938,Signaling by MST1,signaling by mst1,pathway
939,Signaling by NOTCH,signaling by notch,pathway
940,Signaling by NOTCH1,signaling by notch1,pathway
941,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,signaling by notch1 hd+pest domain mutants in cancer,pathway
942,Signaling by NOTCH1 PEST Domain Mutants in Cancer,signaling by notch1 pest domain mutants in cancer,pathway
943,Signaling by NOTCH1 in Cancer,signaling by notch1 in cancer,pathway
944,Signaling by NOTCH2,signaling by notch2,pathway
945,Signaling by NOTCH3,signaling by notch3,pathway
946,Signaling by NOTCH4,signaling by notch4,pathway
947,Signaling by NTRK1 (TRKA),signaling by ntrk1 (trka),pathway
948,Signaling by NTRK2 (TRKB),signaling by ntrk2 (trkb),pathway
949,Signaling by NTRK3 (TRKC),signaling by ntrk3 (trkc),pathway
950,Signaling by NTRKs,signaling by ntrks,pathway
951,Signaling by Non-Receptor Tyrosine Kinases,signaling by non-receptor tyrosine kinases,pathway
952,Signaling by Nuclear Receptors,signaling by nuclear receptors,pathway
953,Signaling by Overexpressed Wild-Type EGFR in Cancer,signaling by overexpressed wild-type egfr in cancer,pathway
954,Signaling by PDGF,signaling by pdgf,pathway
955,Signaling by PDGFR in disease,signaling by pdgfr in disease,pathway
956,Signaling by PDGFRA extracellular domain mutants,signaling by pdgfra extracellular domain mutants,pathway
957,"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants","signaling by pdgfra transmembrane, juxtamembrane and kinase domain mutants",pathway
958,Signaling by PTK6,signaling by ptk6,pathway
959,Signaling by RAF1 mutants,signaling by raf1 mutants,pathway
960,Signaling by RAS mutants,signaling by ras mutants,pathway
961,Signaling by ROBO receptors,signaling by robo receptors,pathway
962,Signaling by Receptor Tyrosine Kinases,signaling by receptor tyrosine kinases,pathway
963,Signaling by Retinoic Acid,signaling by retinoic acid,pathway
964,Signaling by Rho GTPases,signaling by rho gtpases,pathway
965,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3","signaling by rho gtpases, miro gtpases and rhobtb3",pathway
966,Signaling by SCF-KIT,signaling by scf-kit,pathway
967,Signaling by TGF-beta Receptor Complex,signaling by tgf-beta receptor complex,pathway
968,Signaling by TGF-beta Receptor Complex in Cancer,signaling by tgf-beta receptor complex in cancer,pathway
969,Signaling by TGFB family members,signaling by tgfb family members,pathway
970,Signaling by TGFBR3,signaling by tgfbr3,pathway
971,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),signaling by type 1 insulin-like growth factor 1 receptor (igf1r),pathway
972,Signaling by VEGF,signaling by vegf,pathway
973,Signaling by WNT,signaling by wnt,pathway
974,Signaling by activated point mutants of FGFR1,signaling by activated point mutants of fgfr1,pathway
975,Signaling by activated point mutants of FGFR3,signaling by activated point mutants of fgfr3,pathway
976,Signaling by cytosolic FGFR1 fusion mutants,signaling by cytosolic fgfr1 fusion mutants,pathway
977,Signaling by extracellular domain mutants of KIT,signaling by extracellular domain mutants of kit,pathway
978,Signaling by high-kinase activity BRAF mutants,signaling by high-kinase activity braf mutants,pathway
979,Signaling by juxtamembrane domain KIT mutants,signaling by juxtamembrane domain kit mutants,pathway
980,Signaling by kinase domain mutants of KIT,signaling by kinase domain mutants of kit,pathway
981,Signaling by membrane-tethered fusions of PDGFRA or PDGFRB,signaling by membrane-tethered fusions of pdgfra or pdgfrb,pathway
982,Signaling by moderate kinase activity BRAF mutants,signaling by moderate kinase activity braf mutants,pathway
983,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants","signaling by phosphorylated juxtamembrane, extracellular and kinase domain kit mutants",pathway
984,Signaling by plasma membrane FGFR1 fusions,signaling by plasma membrane fgfr1 fusions,pathway
985,Signaling by the B Cell Receptor (BCR),signaling by the b cell receptor (bcr),pathway
986,Signaling downstream of RAS mutants,signaling downstream of ras mutants,pathway
987,Signalling to ERKs,signalling to erks,pathway
988,Signalling to RAS,signalling to ras,pathway
989,Signalling to STAT3,signalling to stat3,pathway
990,Signalling to p38 via RIT and RIN,signalling to p38 via rit and rin,pathway
991,Smooth Muscle Contraction,smooth muscle contraction,pathway
992,Somitogenesis,somitogenesis,pathway
993,Sorafenib-resistant KIT mutants,sorafenib-resistant kit mutants,pathway
994,Sorafenib-resistant PDGFR mutants,sorafenib-resistant pdgfr mutants,pathway
995,Specification of primordial germ cells,specification of primordial germ cells,pathway
996,Specification of the neural plate border,specification of the neural plate border,pathway
997,Sphingolipid de novo biosynthesis,sphingolipid de novo biosynthesis,pathway
998,Spry regulation of FGF signaling,spry regulation of fgf signaling,pathway
999,Stimuli-sensing channels,stimuli-sensing channels,pathway
1000,Sunitinib-resistant KIT mutants,sunitinib-resistant kit mutants,pathway
1001,Sunitinib-resistant PDGFR mutants,sunitinib-resistant pdgfr mutants,pathway
1002,Switching of origins to a post-replicative state,switching of origins to a post-replicative state,pathway
1003,Syndecan interactions,syndecan interactions,pathway
1004,Synthesis of DNA,synthesis of dna,pathway
1005,Synthesis of PIPs at the plasma membrane,synthesis of pips at the plasma membrane,pathway
1006,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),synthesis of prostaglandins (pg) and thromboxanes (tx),pathway
1007,TCF dependent signaling in response to WNT,tcf dependent signaling in response to wnt,pathway
1008,TCR signaling,tcr signaling,pathway
1009,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,tfap2 (ap-2) family regulates transcription of growth factors and their receptors,pathway
1010,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,tfap2a acts as a transcriptional repressor during retinoic acid induced cell differentiation,pathway
1011,TGF-beta receptor signaling activates SMADs,tgf-beta receptor signaling activates smads,pathway
1012,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),tgf-beta receptor signaling in emt (epithelial to mesenchymal transition),pathway
1013,TGFBR1 LBD Mutants in Cancer,tgfbr1 lbd mutants in cancer,pathway
1014,TGFBR3 expression,tgfbr3 expression,pathway
1015,TGFBR3 regulates TGF-beta signaling,tgfbr3 regulates tgf-beta signaling,pathway
1016,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,tnf receptor superfamily (tnfsf) members mediating non-canonical nf-kb pathway,pathway
1017,TNFR2 non-canonical NF-kB pathway,tnfr2 non-canonical nf-kb pathway,pathway
1018,TP53 Regulates Metabolic Genes,tp53 regulates metabolic genes,pathway
1019,TP53 Regulates Transcription of Cell Cycle Genes,tp53 regulates transcription of cell cycle genes,pathway
1020,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,tp53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,pathway
1021,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,traf6 mediated induction of nfkb and map kinases upon tlr7/8 or 9 activation,pathway
1022,TRIF (TICAM1)-mediated TLR4 signaling ,trif (ticam1)-mediated tlr4 signaling,pathway
1023,TRKA activation by NGF,trka activation by ngf,pathway
1024,TRP channels,trp channels,pathway
1025,TWIK related potassium channel (TREK),twik related potassium channel (trek),pathway
1026,TWIK-related spinal cord K+ channel (TRESK),twik-related spinal cord k+ channel (tresk),pathway
1027,TWIK-releated acid-sensitive K+ channel (TASK),twik-releated acid-sensitive k+ channel (task),pathway
1028,Tandem pore domain potassium channels,tandem pore domain potassium channels,pathway
1029,Telomere C-strand (Lagging Strand) Synthesis,telomere c-strand (lagging strand) synthesis,pathway
1030,Telomere C-strand synthesis initiation,telomere c-strand synthesis initiation,pathway
1031,Telomere Maintenance,telomere maintenance,pathway
1032,Termination of translesion DNA synthesis,termination of translesion dna synthesis,pathway
1033,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation","tetrahydrobiopterin (bh4) synthesis, recycling, salvage and regulation",pathway
1034,The NLRP1 inflammasome,the nlrp1 inflammasome,pathway
1035,The NLRP3 inflammasome,the nlrp3 inflammasome,pathway
1036,The phototransduction cascade,the phototransduction cascade,pathway
1037,The role of GTSE1 in G2/M progression after G2 checkpoint,the role of gtse1 in g2/m progression after g2 checkpoint,pathway
1038,Thrombin signalling through proteinase activated receptors (PARs),thrombin signalling through proteinase activated receptors (pars),pathway
1039,Thromboxane signalling through TP receptor,thromboxane signalling through tp receptor,pathway
1040,Tie2 Signaling,tie2 signaling,pathway
1041,Tight junction interactions,tight junction interactions,pathway
1042,Toll Like Receptor 10 (TLR10) Cascade,toll like receptor 10 (tlr10) cascade,pathway
1043,Toll Like Receptor 2 (TLR2) Cascade,toll like receptor 2 (tlr2) cascade,pathway
1044,Toll Like Receptor 3 (TLR3) Cascade,toll like receptor 3 (tlr3) cascade,pathway
1045,Toll Like Receptor 4 (TLR4) Cascade,toll like receptor 4 (tlr4) cascade,pathway
1046,Toll Like Receptor 5 (TLR5) Cascade,toll like receptor 5 (tlr5) cascade,pathway
1047,Toll Like Receptor 7/8 (TLR7/8) Cascade,toll like receptor 7/8 (tlr7/8) cascade,pathway
1048,Toll Like Receptor 9 (TLR9) Cascade,toll like receptor 9 (tlr9) cascade,pathway
1049,Toll Like Receptor TLR1:TLR2 Cascade,toll like receptor tlr1:tlr2 cascade,pathway
1050,Toll Like Receptor TLR6:TLR2 Cascade,toll like receptor tlr6:tlr2 cascade,pathway
1051,Toll-like Receptor Cascades,toll-like receptor cascades,pathway
1052,Toxicity of botulinum toxin type A (botA),toxicity of botulinum toxin type a (bota),pathway
1053,Toxicity of botulinum toxin type E (botE),toxicity of botulinum toxin type e (bote),pathway
1054,Trafficking of AMPA receptors,trafficking of ampa receptors,pathway
1055,Transcription of E2F targets under negative control by DREAM complex,transcription of e2f targets under negative control by dream complex,pathway
1056,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,transcription of e2f targets under negative control by p107 (rbl1) and p130 (rbl2) in complex with hdac1,pathway
1057,Transcription-Coupled Nucleotide Excision Repair (TC-NER),transcription-coupled nucleotide excision repair (tc-ner),pathway
1058,Transcriptional Regulation by MECP2,transcriptional regulation by mecp2,pathway
1059,Transcriptional Regulation by NPAS4,transcriptional regulation by npas4,pathway
1060,Transcriptional Regulation by TP53,transcriptional regulation by tp53,pathway
1061,Transcriptional Regulation by VENTX,transcriptional regulation by ventx,pathway
1062,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,transcriptional activity of smad2/smad3:smad4 heterotrimer,pathway
1063,Transcriptional and post-translational regulation of MITF-M expression and activity,transcriptional and post-translational regulation of mitf-m expression and activity,pathway
1064,Transcriptional regulation by RUNX1,transcriptional regulation by runx1,pathway
1065,Transcriptional regulation by RUNX2,transcriptional regulation by runx2,pathway
1066,Transcriptional regulation by RUNX3,transcriptional regulation by runx3,pathway
1067,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,transcriptional regulation by the ap-2 (tfap2) family of transcription factors,pathway
1068,Transcriptional regulation of brown and beige adipocyte differentiation,transcriptional regulation of brown and beige adipocyte differentiation,pathway
1069,Transcriptional regulation of brown and beige adipocyte differentiation by EBF2,transcriptional regulation of brown and beige adipocyte differentiation by ebf2,pathway
1070,Transcriptional regulation of granulopoiesis,transcriptional regulation of granulopoiesis,pathway
1071,Transcriptional regulation of pluripotent stem cells,transcriptional regulation of pluripotent stem cells,pathway
1072,Transcriptional regulation of white adipocyte differentiation,transcriptional regulation of white adipocyte differentiation,pathway
1073,Translation,translation,pathway
1074,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,translesion synthesis by y family dna polymerases bypasses lesions on dna template,pathway
1075,Translocation of SLC2A4 (GLUT4) to the plasma membrane,translocation of slc2a4 (glut4) to the plasma membrane,pathway
1076,Transmission across Chemical Synapses,transmission across chemical synapses,pathway
1077,Transport of connexons to the plasma membrane,transport of connexons to the plasma membrane,pathway
1078,Transport of small molecules,transport of small molecules,pathway
1079,Transport to the Golgi and subsequent modification,transport to the golgi and subsequent modification,pathway
1080,"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells","turbulent (oscillatory, disturbed) flow shear stress activates signaling by piezo1 and integrins in endothelial cells",pathway
1081,Type I hemidesmosome assembly,type i hemidesmosome assembly,pathway
1082,Ub-specific processing proteases,ub-specific processing proteases,pathway
1083,Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A,ubiquitin-mediated degradation of phosphorylated cdc25a,pathway
1084,Ubiquitin-dependent degradation of Cyclin D,ubiquitin-dependent degradation of cyclin d,pathway
1085,Uptake and actions of bacterial toxins,uptake and actions of bacterial toxins,pathway
1086,Uptake and function of anthrax toxins,uptake and function of anthrax toxins,pathway
1087,Uptake and function of diphtheria toxin,uptake and function of diphtheria toxin,pathway
1088,VEGF binds to VEGFR leading to receptor dimerization,vegf binds to vegfr leading to receptor dimerization,pathway
1089,VEGF ligand-receptor interactions,vegf ligand-receptor interactions,pathway
1090,VEGFA-VEGFR2 Pathway,vegfa-vegfr2 pathway,pathway
1091,VEGFR2 mediated cell proliferation,vegfr2 mediated cell proliferation,pathway
1092,VEGFR2 mediated vascular permeability,vegfr2 mediated vascular permeability,pathway
1093,Vasopressin regulates renal water homeostasis via Aquaporins,vasopressin regulates renal water homeostasis via aquaporins,pathway
1094,Vesicle-mediated transport,vesicle-mediated transport,pathway
1095,Vif-mediated degradation of APOBEC3G,vif-mediated degradation of apobec3g,pathway
1096,Viral Infection Pathways,viral infection pathways,pathway
1097,Visual phototransduction,visual phototransduction,pathway
1098,Vitamin C (ascorbate) metabolism,vitamin c (ascorbate) metabolism,pathway
1099,Vitamin D (calciferol) metabolism,vitamin d (calciferol) metabolism,pathway
1100,Voltage gated Potassium channels,voltage gated potassium channels,pathway
1101,YAP1- and WWTR1 (TAZ)-stimulated gene expression,yap1- and wwtr1 (taz)-stimulated gene expression,pathway
1102,activated TAK1 mediates p38 MAPK activation,activated tak1 mediates p38 mapk activation,pathway
1103,crenolanib-resistant FLT3 mutants,crenolanib-resistant flt3 mutants,pathway
1104,eNOS activation,enos activation,pathway
1105,gilteritinib-resistant FLT3 mutants,gilteritinib-resistant flt3 mutants,pathway
